DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,
2019/06/18 03:08:13,6/18/19,3:08:13,0.17,28.36,0.67,129.635,0.67,14.5,1.2,0.5v,NEAR AMAMI-OSHIMA ISLAND,A
2019/06/18 03:15:15,6/18/19,3:15:15,0.12,33.135,0.27,130.508,0.32,12.9,1.5,0.0V,NORTHERN ARIAKEKAI REG  A,
2019/06/18 03:17:28,6/18/19,3:17:28,0.1,24.793,0.87,124.596,0.33,16.3,1.7,0.6v,NEAR ISHIGAKIJIMA ISLAND,A
2019/06/18 03:17:42,6/18/19,3:17:42,0.03,37.054,0.1,140.443,0.15,8.9,0.8,1.6V,MID FUKUSHIMA PREF  A,
2019/06/18 03:21:18,6/18/19,3:21:18,0.04,36.71,0.09,140.601,0.19,8.4,0.4,-0.1V,NORTHERN IBARAKI PREF  k,
2019/06/18 03:21:25,6/18/19,3:21:25,0.24,28.082,0.45,128.172,0.67,18.2,5,0.9v,NW OFF OKINAWAJIMA IS  k,
2019/06/18 03:22:05,6/18/19,3:22:05,0.08,38.983,0.3,140.871,0.21,5.5,0.8,-0.2v,SOUTHERN IWATE PREF  k,
2019/06/18 03:24:46,6/18/19,3:24:46,0.26,37.371,0.68,141.833,0.92,24.5,4.5,1.4V,E OFF FUKUSHIMA PREF  k,
2019/06/18 03:26:24,6/18/19,3:26:24,0.12,35.646,0.38,140.728,0.33,45.6,0.9,0.6v,NEAR CHOSHI CITY  A,
2019/06/18 03:27:13,6/18/19,3:27:13,0.09,36.19,0.2,137.968,0.28,11.5,0.8,-0.1V,CENTRAL NAGANO PREF  A,
2019/06/18 03:30:57,6/18/19,3:30:57,0.14,38.883,0.38,141.606,0.82,61.1,1.1,0.5V,NORTHERN MIYAGI PREF  A,
2019/06/18 03:33:58,6/18/19,3:33:58,0.1,32.011,0.32,129.741,0.49,7.7,3.4,0.4V,W OFF AMAKUSA ISLAND  A,
2019/06/18 03:35:44,6/18/19,3:35:44,0.07,32.003,0.29,129.748,0.5,11.5,2.4,0.0V,W OFF AMAKUSA ISLAND  k,
2019/06/18 03:39:54,6/18/19,3:39:54,0.12,31.879,0.39,129.554,0.52,12.1,2.2,0.2V,SW OFF KYUSHU  k,
2019/06/18 03:40:11,6/18/19,3:40:11,0.13,44.048,0.4,141.762,0.71,6.2,1.7,0.5V,RUMOI REGION  k,
2019/06/18 03:41:59,6/18/19,3:41:59,0.04,36.801,0.08,140.585,0.13,6.7,0.4,-0.2v,NORTHERN IBARAKI PREF  A,
2019/06/18 03:43:03,6/18/19,3:43:03,0.03,32.933,0.19,131.03,0.12,5.2,0.6,0.1V,NE KUMAMOTO PREF  A,
2019/06/18 03:43:34,6/18/19,3:43:35,0.09,31.937,0.19,130.793,0.18,2,1.4,0.2V,EBINO REGION S KYUSHU  A,
2019/06/18 03:46:20,6/18/19,3:46:20,0.03,32.632,0.14,130.69,0.17,6.7,0.9,1.1V,SOUTHERN KUMAMOTO PREF  A,
2019/06/18 03:47:28,6/18/19,3:47:28,0.11,31.951,0.33,130.817,0.32,9.5,1.2,-0.4V,EBINO REGION S KYUSHU  k,
2019/06/18 03:54:43,6/18/19,3:54:43,0.05,31.971,0.15,130.365,0.19,2,0.7,0.8V,NW KAGOSHIMA PREF  A,
2019/06/18 03:56:04,6/18/19,3:56:04,0.24,37.353,0.65,141.871,1.15,38.1,4.5,2.5V,E OFF FUKUSHIMA PREF  K,
2019/06/18 03:57:20,6/18/19,3:57:20,0.11,36.053,0.32,139.784,0.26,44.7,1,0.9V,SW IBARAKI PREF  A,
2019/06/18 03:57:54,6/18/19,3:57:54,0.56,27.823,2.87,127.284,3.03,145,,1.6v,NW OFF OKINAWAJIMA IS  A,
2019/06/18 03:59:57,6/18/19,3:59:57,0.1,30.463,0.25,131.256,0.56,32.9,0.8,0.7v,NEAR TANEGASHIMA ISLAND,k
2019/06/18 04:00:17,6/18/19,4:00:17,0.14,39.039,0.37,142.353,0.72,32.6,1.9,0.9v,E OFF IWATE PREF  A,
2019/06/18 04:01:52,6/18/19,4:01:52,0.59,35.845,0.85,137.548,2.4,0,,-0.3v,WESTERN NAGANO PREF  a,
2019/06/18 04:03:59,6/18/19,4:03:59,0.14,37.08,0.47,141.525,1.1,70.2,1.7,2.1V,E OFF FUKUSHIMA PREF  K,
2019/06/18 04:10:56,6/18/19,4:10:56,0.1,32.983,0.43,134.477,0.98,33.8,1.6,0.6V,SE OFF SHIKOKU  k,
2019/06/18 04:12:08,6/18/19,4:12:08,0.31,24.515,0.68,121.752,1.44,51.2,4.4,2.7V,TAIWAN REGION  K,
2019/06/18 04:13:42,6/18/19,4:13:42,0.26,27.752,1.02,128.999,1.53,10.8,2.2,0.4v,NEAR AMAMI-OSHIMA ISLAND,s
2019/06/18 04:14:12,6/18/19,4:14:12,0.16,31.139,0.35,130.436,0.55,123.9,1.4,1.6V,SATSUMA PENINSULA REGION,A
2019/06/18 04:19:34,6/18/19,4:19:34,0.08,32.638,0.4,132.265,0.18,28.3,1.5,0.6V,HYUGANADA REGION  A,
2019/06/18 04:20:16,6/18/19,4:20:16,0.26,39.307,0.39,142.834,1.26,30.9,2.1,1.4V,E OFF IWATE PREF  A,
2019/06/18 04:21:31,6/18/19,4:21:31,0.13,36.646,0.17,140.587,0.53,4.7,0.8,-0.4v,NORTHERN IBARAKI PREF  a,
2019/06/18 04:22:19,6/18/19,4:22:19,0.15,42.336,2.22,142.629,1.65,24,,0.3V,HIDAKA REGION  k,
2019/06/18 04:23:24,6/18/19,4:23:24,0.08,28.458,0.25,129.11,0.25,12.9,0.9,0.4v,NEAR AMAMI-OSHIMA ISLAND,k
2019/06/18 04:26:32,6/18/19,4:26:32,0.15,37.023,0.4,141.341,0.89,44,1.4,2.5V,E OFF FUKUSHIMA PREF  K,
2019/06/18 04:29:14,6/18/19,4:29:14,0.05,35.61,0.15,136.494,0.15,13.8,0.6,0.6V,SW GIFU PREF  A,
2019/06/18 04:32:41,6/18/19,4:32:41,0.14,32.622,0.81,132.268,0.22,26.8,2.3,0.4V,HYUGANADA REGION  A,
2019/06/18 04:33:05,6/18/19,4:33:05,0.04,33.938,0.11,135.16,0.15,6.7,0.5,0.7V,CENTRAL WAKAYAMA PREF  A,
2019/06/18 04:33:34,6/18/19,4:33:34,0.06,33.502,0.17,132.399,0.18,44.4,0.5,0.4V,IYONADA SETONAIKAI  A,
2019/06/18 04:37:42,6/18/19,4:37:42,0.27,29.042,0.7,129.219,1.95,93.9,2.1,1.3V,NEAR TOKARA ISLANDS  k,
2019/06/18 04:42:05,6/18/19,4:42:05,0.05,35.377,0.16,133.887,0.13,8.1,0.6,0.2V,EASTERN TOTTORI PREF  A,
2019/06/18 04:45:10,6/18/19,4:45:10,0.15,27.704,1.36,128.99,2.16,13.5,2.4,1.3v,NEAR AMAMI-OSHIMA ISLAND,A
2019/06/18 04:45:48,6/18/19,4:45:48,0.29,25.565,2.18,123.893,1.31,199,,2.1v,NW OFF ISHIGAKIJIMA IS  K,
2019/06/18 04:46:39,6/18/19,4:46:39,0.06,28.381,0.21,129.518,0.2,13.2,0.6,0.0v,NEAR AMAMI-OSHIMA ISLAND,k
2019/06/18 04:47:43,6/18/19,4:47:43,0.25,42.445,0.88,143.83,1.19,81.2,2.2,0.7v,SE OFF TOKACHI  A,
