DateTime,Date,Time,TimeErr,Evla,EvlaErr,Evlo,EvloErr,Depth,Derr,Mag,,,,,,,,,,,,
2019-06-18 07:37:00,6/18/19,7:37:30,0.054,32.6515,0.3,130.6931,0.3,13.7,0.8,0.4,,6/19/19 11:48,6/19/19,48:01.1,0.052,38.5739,0.3,139.4183,0.3,9.2,0.7,1.8
2019-06-18 07:38:00,6/18/19,7:38:22,0.031,36.7678,0.2,140.5655,0.3,9.6,0.4,0.9,,6/19/19 11:51,6/19/19,51:48.6,0.138,36.5856,0.5,137.8514,0.6,12.9,1.3,0.4
2019-06-18 07:40:00,6/18/19,7:40:48,0.058,33.121,0.4,130.4553,0.3,10.3,0.7,0.4,,6/19/19 11:52,6/19/19,52:01.7,0.073,36.5885,0.3,137.8501,0.4,14,0.7,1.3
2019-06-18 07:48:00,6/18/19,7:48:50,0.162,43.2709,4.8,146.5575,2.3,50.7,3.9,2.8,,6/19/19 11:56,6/19/19,56:11.2,0.195,35.5887,0.9,140.9522,1.2,16.4,1,1.6
2019-06-18 07:49:00,6/18/19,7:49:31,0.024,36.8396,0.1,140.6117,0.1,8.3,0.2,0.1,,6/19/19 12:05,6/19/19,05:34.8,0.04,38.6175,0.2,139.4064,0.2,10.8,0.6,2.3
2019-06-18 07:56:00,6/18/19,7:56:04,0.039,33.7417,0.3,133.867,0.2,9.1,0.7,0.9,,6/19/19 12:07,6/19/19,07:35.5,0.033,35.9072,0.2,137.6257,0.2,8.6,0.6,0.6
2019-06-18 07:58:00,6/18/19,7:58:01,0.102,38.497,0.6,142.2046,1.1,50.3,1.3,1.5,,6/19/19 12:09,6/19/19,09:37.8,0.047,35.9017,0.3,137.6293,0.3,7.5,0.5,0.2
2019-06-18 08:01:00,6/18/19,8:01:07,0.035,34.4901,0.2,136.7788,0.1,23.4,0.4,1.4,,6/19/19 12:10,6/19/19,10:10.3,0.136,38.6227,0.7,139.418,1,11,1.8,1.1
2019-06-18 08:14:00,6/18/19,8:14:12,0.184,42.5522,1.2,143.5792,1.4,84.5,1.5,2.1,,6/19/19 12:11,6/19/19,11:04.3,0.326,36.1876,1.2,137.7942,2.3,7.3,3.1,0
2019-06-18 08:25:00,6/18/19,8:25:30,0.025,32.775,0.2,130.6085,0.2,8.6,0.4,0.9,,6/19/19 12:13,6/19/19,13:33.1,0.071,36.3286,0.4,140.9258,0.7,44.2,0.7,2.4
